web-scraper-order,web-scraper-start-url,Descriptions,Prix,Addresses,Images-src,Paginations,Paginations-href
"1729549881-1","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","VENTE DE TERRAINS","","","","",""
"1729549881-2","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 1000 mètres carrés à vendre à Toubab Dialaw Sénégal","","","","",""
"1729549881-3","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 200 mètres carrés à vendre à Toubab Dialaw Sénégal","","","","",""
"1729549881-4","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain 192m2 Keur Massar","","","","",""
"1729549881-5","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","terrain à vendre","","","","",""
"1729549881-6","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 4013 m² vers Nguéniène","","","","",""
"1729549881-7","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 9511 m² vers Baba Garage","","","","",""
"1729549881-8","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 8579 m² vers Notto Diobass","","","","",""
"1729549881-9","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 5804 m² vers Dalla Ngabou","","","","",""
"1729549881-10","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain a Vendre","","","","",""
"1729549881-11","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain à vendre Ngor Almadies","","","","",""
"1729549881-12","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 1 hectare vers Notto Diobass","","","","",""
"1729549881-13","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain à vendre à yenne","","","","",""
"1729549881-14","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 500 mètres carrés à vendre à Mbour Sénégal","","","","",""
"1729549881-15","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 300 mètres carrés à vendre à Malicounda Sénégal","","","","",""
"1729549881-16","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 300 mètres carrés à vendre à Malicounda Sénégal","","","","",""
"1729549881-17","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 600 mètres carrés à vendre à Malicounda Sénégal","","","","",""
"1729549881-18","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain lac rose","","","","",""
"1729549881-19","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 2 hectares vers Tassette","","","","",""
"1729549881-20","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 3 hectares vers Tassette","","","","",""
"1729549881-21","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Verger de 1,50 hectare vers Mboro","","","","",""
"1729549881-22","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 300 mètres carrés à vendre à Malicounda Sénégal","","","","",""
"1729549881-23","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 600 mètres carrés à vendre à Gandigal Sénégal","","","","",""
"1729549881-24","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 4013 m² vers Nguéniène","","","","",""
"1729549881-25","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 8098 m² vers Tassette","","","","",""
"1729549881-26","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 2,65 hectares vers Touba Toul","","","","",""
"1729549881-27","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Vente de terrain","","","","",""
"1729549881-28","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain a vendre","","","","",""
"1729549881-29","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Verger de 7310 m² vers Tassette","","","","",""
"1729549881-30","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Location d’une Exploitation Agricole de 10 hectares vers Tassette","","","","",""
"1729549881-31","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Verger de 2 hectares vers Tassette","","","","",""
"1729549881-32","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain 300m2 angles","","","","",""
"1729549881-33","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 2963 m² vers Diourbel","","","","",""
"1729549881-34","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 225 mètres carrés à vendre à Saly Sénégal","","","","",""
"1729549881-35","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Ferme Avicole de 8457 m² vers Fandéne","","","","",""
"1729549881-36","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 2,50 hectares vers Thieytou","","","","",""
"1729549881-37","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrains agricoles en vente","","","","",""
"1729549881-38","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain à vendre Almadies 2","","","","",""
"1729549881-39","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain à vendre sur ndayane","","","","",""
"1729549881-40","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","TERRAIN A VENDRE","","","","",""
"1729549881-41","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 1,69 hectare vers Tassette","","","","",""
"1729549881-42","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","Terrain de 7842 m² vers Notto Diobass","","","","",""
"1729549881-43","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","2 500 000 FCFA","","","",""
"1729549881-44","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Rufisque","","","",""
"1729549881-45","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","20 000 000 FCFA","","","",""
"1729549881-46","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Thiès","","","",""
"1729549881-47","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","12 000 000 FCFA","","","",""
"1729549881-48","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Mbour","","","",""
"1729549881-49","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","170 000 000 FCFA","","","",""
"1729549881-50","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Keur Massar","","","",""
"1729549881-51","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","180 000 000 FCFA","","","",""
"1729549881-52","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Ouakam","","","",""
"1729549881-53","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","3 600 000 FCFA","","","",""
"1729549881-54","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Mbour","","","",""
"1729549881-55","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","3 600 000 FCFA","","","",""
"1729549881-56","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Diourbel","","","",""
"1729549881-57","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","8 900 000 FCFA","","","",""
"1729549881-58","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Thiès","","","",""
"1729549881-59","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","6 000 000 FCFA","","","",""
"1729549881-60","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Diourbel","","","",""
"1729549881-61","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","6 500 000 FCFA","","","",""
"1729549881-62","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Diamniadio","","","",""
"1729549881-63","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","100 000 000 FCFA","","","",""
"1729549881-64","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Ngor","","","",""
"1729549881-65","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","4 590 000 FCFA","","","",""
"1729549881-66","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Thiès","","","",""
"1729549881-67","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","2 000 000 FCFA","","","",""
"1729549881-68","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Dakar","","","",""
"1729549881-69","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","25 000 000 FCFA","","","",""
"1729549881-70","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Mbour","","","",""
"1729549881-71","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","9 000 000 FCFA","","","",""
"1729549881-72","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Thiès","","","",""
"1729549881-73","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","12 000 000 FCFA","","","",""
"1729549881-74","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Mbour","","","",""
"1729549881-75","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","22 000 000 FCFA","","","",""
"1729549881-76","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Mbour","","","",""
"1729549881-77","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","12 000 000 FCFA","","","",""
"1729549881-78","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Liberté 6","","","",""
"1729549881-79","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","12 600 000 FCFA","","","",""
"1729549881-80","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Thiès","","","",""
"1729549881-81","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","14 250 000 FCFA","","","",""
"1729549881-82","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Thiès","","","",""
"1729549881-83","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","21 000 000 FCFA","","","",""
"1729549881-84","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Thiès","","","",""
"1729549881-85","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","10 000 000 FCFA","","","",""
"1729549881-86","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Mbour","","","",""
"1729549881-87","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","13 500 000 FCFA","","","",""
"1729549881-88","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Thiès","","","",""
"1729549881-89","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","3 600 000 FCFA","","","",""
"1729549881-90","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Mbour","","","",""
"1729549881-91","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","4 500 000 FCFA","","","",""
"1729549881-92","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Thiès","","","",""
"1729549881-93","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","9 300 000 FCFA","","","",""
"1729549881-94","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Thiès","","","",""
"1729549881-95","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","5 000 000 FCFA","","","",""
"1729549881-96","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Rufisque","","","",""
"1729549881-97","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","2 500 000 FCFA","","","",""
"1729549881-98","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Tivaouane","","","",""
"1729549881-99","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","6 500 000 FCFA","","","",""
"1729549881-100","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Thiès","","","",""
"1729549881-101","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","900 000 FCFA","","","",""
"1729549881-102","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Thiès","","","",""
"1729549881-103","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","89 000 000 FCFA","","","",""
"1729549881-104","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Thiès","","","",""
"1729549881-105","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","5 500 000 FCFA","","","",""
"1729549881-106","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Mbour","","","",""
"1729549881-107","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","4 450 000 FCFA","","","",""
"1729549881-108","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Diourbel","","","",""
"1729549881-109","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","8 000 000 FCFA","","","",""
"1729549881-110","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Saly","","","",""
"1729549881-111","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","36 350 000 FCFA","","","",""
"1729549881-112","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Thiès","","","",""
"1729549881-113","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","12 500 000 FCFA","","","",""
"1729549881-114","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Bambey","","","",""
"1729549881-115","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","120 000 000 FCFA","","","",""
"1729549881-116","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Somone","","","",""
"1729549881-117","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","30 000 000 FCFA","","","",""
"1729549881-118","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Rufisque","","","",""
"1729549881-119","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","6 500 000 FCFA","","","",""
"1729549881-120","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Thiès","","","",""
"1729549881-121","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","20 000 000 FCFA","","","",""
"1729549881-122","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Keur Massar","","","",""
"1729549881-123","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","9 408 000 FCFA","","","",""
"1729549881-124","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Thiès","","","",""
"1729549881-125","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","4 975 000 FCFA","","","",""
"1729549881-126","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","Thiès","","","",""
"1729549881-127","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","2 500 000 FCFA","","",""
"1729549881-128","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Rufisque","","",""
"1729549881-129","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","20 000 000 FCFA","","",""
"1729549881-130","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Thiès","","",""
"1729549881-131","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","12 000 000 FCFA","","",""
"1729549881-132","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Mbour","","",""
"1729549881-133","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","170 000 000 FCFA","","",""
"1729549881-134","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Keur Massar","","",""
"1729549881-135","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","180 000 000 FCFA","","",""
"1729549881-136","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Ouakam","","",""
"1729549881-137","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","3 600 000 FCFA","","",""
"1729549881-138","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Mbour","","",""
"1729549881-139","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","3 600 000 FCFA","","",""
"1729549881-140","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Diourbel","","",""
"1729549881-141","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","8 900 000 FCFA","","",""
"1729549881-142","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Thiès","","",""
"1729549881-143","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","6 000 000 FCFA","","",""
"1729549881-144","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Diourbel","","",""
"1729549881-145","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","6 500 000 FCFA","","",""
"1729549881-146","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Diamniadio","","",""
"1729549881-147","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","100 000 000 FCFA","","",""
"1729549881-148","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Ngor","","",""
"1729549881-149","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","4 590 000 FCFA","","",""
"1729549881-150","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Thiès","","",""
"1729549881-151","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","2 000 000 FCFA","","",""
"1729549881-152","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Dakar","","",""
"1729549881-153","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Dakar","","",""
"1729549881-154","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","25 000 000 FCFA","","",""
"1729549881-155","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Mbour","","",""
"1729549881-156","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","9 000 000 FCFA","","",""
"1729549881-157","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Thiès","","",""
"1729549881-158","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","12 000 000 FCFA","","",""
"1729549881-159","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Mbour","","",""
"1729549881-160","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","22 000 000 FCFA","","",""
"1729549881-161","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Mbour","","",""
"1729549881-162","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","12 000 000 FCFA","","",""
"1729549881-163","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Liberté 6","","",""
"1729549881-164","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","12 600 000 FCFA","","",""
"1729549881-165","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Thiès","","",""
"1729549881-166","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","14 250 000 FCFA","","",""
"1729549881-167","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Thiès","","",""
"1729549881-168","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","21 000 000 FCFA","","",""
"1729549881-169","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Thiès","","",""
"1729549881-170","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","10 000 000 FCFA","","",""
"1729549881-171","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Mbour","","",""
"1729549881-172","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","13 500 000 FCFA","","",""
"1729549881-173","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Thiès","","",""
"1729549881-174","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","3 600 000 FCFA","","",""
"1729549881-175","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html","","","Mbour","","",""
