web-scraper-order,web-scraper-start-url,descriptions,prix,Addresses,Images-src,Paginations,Paginations-href
"1729549931-1","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","Appartement A Vendre","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-2","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","APPARTEMENTS F4 A VENDRE EN LOCATION VENTE","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-3","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","Appartement Meublé à vendre à Dakar Sénégal","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-4","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","Appartement à vendre","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-5","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","appartement à vendre","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-6","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","APPARTEMENT A VENDRE","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-7","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","APPARTEMENT F4 À VENDRE YOFF VIRAGE","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-8","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","bel appartement à vendre","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-9","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","F5 A VENDRE A OUEST FOIRE","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-10","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","F4 A VENDRE A FANN HOCK","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-11","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","F4 A VENDRE AU PLATEAU","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-12","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","F4 A VENDRE AU VIRAGE","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-13","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","F2/F3 A VENDRE A LA MEDINA","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-14","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","APPARTEMENT F2 A VENDRE AUX MAMELLES ALMADIES","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-15","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","TRES JOLI APPARTEMENT À VENDRE","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-16","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","APPARTEMENT À VENDRE UNE BELLE OPPORTUNITÉ","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-17","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","Vente appartements au point e","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-18","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","APPARTEMENT F4 FOIRE CITY A VENDRE","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-19","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","F2 A VENDRE SUR LA RESIDENCE FOIRE CITY","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-20","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","LA RÉSIDENCE FOIRE CITY","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-21","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","VENTE APPARTEMENT F2 VIRAGE","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-22","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","BEL F3 en bordure de route","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-23","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","Vente d'appartements en VEFA à Dakar plateau","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-24","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","Superbe F4 neuf en bordure","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-25","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","Appartement F3 à Vendre","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-26","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","Studio Mamelles neuf","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-27","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","F3 neuf en bordure de route","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-28","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","APPARTEMENT EN VENTE","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-29","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","F4 à vendre","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-30","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","F4 à vendre","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-31","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","Des appartements a vendre centre ville haut plateaux","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-32","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","F3 haut standing à Vendre","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-33","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","Duplex sur sacré cœur 2","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-34","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","Studio de haut Standing à Ngor-Almadies","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-35","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","appartement à vendre","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-36","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","Bâtiment de 150 mètres carrés à démolir à Dakar Sénégal","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-37","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","UN APPARTEMENT À VENDRE","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-38","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","Studio neuf sacré cœur","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-39","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","F3 neuf aux Mamelles","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-40","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","Studio neuf Sacré cœur 3","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-41","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","Bel appartement haut standing aux Almadies","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-42","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","Appartement à vendre Dakar Almadies","","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-43","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","40 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-44","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Diamniadio","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-45","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","97 519 500 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-46","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Ouest Foire","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-47","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","47 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-48","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Almadies","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-49","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","110 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-50","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Dakar","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-51","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","180 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-52","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Cité Keur Gorgui","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-53","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","105 021 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-54","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Ouest Foire","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-55","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","135 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-56","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Virage","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-57","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","110 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-58","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Dakar","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-59","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","165 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-60","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Ouest Foire","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-61","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","122 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-62","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Fann","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-63","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","250 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-64","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Dakar","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-65","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","135 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-66","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Virage","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-67","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","55 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-68","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Médina","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
